X,Y,Z,B0,Bx,By,Bz
-15,-15,-25,0.045678203,-0.045400074,0.004847584,0.001353666
-10,-15,-25,0.045686934,-0.045410405,0.004828736,0.00136909
-5,-15,-25,0.045692088,-0.045417272,0.004810413,0.001377761
0,-15,-25,0.045694765,-0.045420731,0.004799226,0.001391437
5,-15,-25,0.045693731,-0.045420139,0.004792192,0.001401026
10,-15,-25,0.045689611,-0.045415554,0.004793723,0.001410019
15,-15,-25,0.045682712,-0.045408302,0.004793821,0.001419689
20,-15,-25,0.045673148,-0.045398276,0.004794444,0.0014305
25,-15,-25,0.045661841,-0.045386361,0.004797214,0.001438318
30,-15,-25,0.045648625,-0.045372731,0.004799162,0.001442327
35,-15,-25,0.045635013,-0.045358232,0.004803061,0.001454582
40,-15,-25,0.045624123,-0.045346771,0.004804101,0.001466808
